Headlines,Time,Description
Cramer's Lightning Round: 'I'm moving on' from Herbalife," 7:10  PM ET Tue, 10 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Veeva is a buy," 7:19  PM ET Mon,  9 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Blackstone is 'too much of a black box'," 7:00  PM ET Fri,  6 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Vertex is 'excellent'," 7:50  PM ET Thu,  5 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Upstart is 'a little too risky'," 7:12  PM ET Wed,  4 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'Hold off' on AT&T," 6:50  PM ET Tue,  3 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Kenny Polcari: I think there will be two more 25-basis-point rate hikes from the Fed,"11:51  PM ET Mon,  2 Oct 2023",Kenny Polcari of SlateStone Wealth calls for a repricing in the stock market and gives his S&P 500 target of 4200.
,,
Cramer's Lightning Round: Stay away from PacWest Bancorp," 7:55  PM ET Mon,  2 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Caterpillar is a buy," 7:03  PM ET Fri, 29 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: GE Healthcare is a buy," 7:23  PM ET Thu, 28 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Powell Industries is 'a winner'," 7:24  PM ET Wed, 27 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"China's economic slowdown: Beijing is 'not as alarmed' as many people are, economist says","12:28  AM ET Wed, 27 Sept 2023","Louis Kuijs, chief Asia economist at S&P Global Ratings, says that's why ""we've seen that piecemeal manner in which they are looking at supporting the economy."""
Cramer's Lightning Round: Boston Scientific is 'best in show'," 7:43  PM ET Tue, 26 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Confluent has 'some of the best enterprise software in the world'," 7:16  PM ET Fri, 22 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: SoFi is a buy," 7:21  PM ET Thu, 21 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Carrier Global is 'terrific'," 7:15  PM ET Wed, 20 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'too much hype' for C3.ai," 7:35  PM ET Tue, 19 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Tilray is 'too dangerous'," 7:41  PM ET Mon, 18 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Sell Joby Aviation," 7:09  PM ET Fri, 15 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Essential Utilities is at 'a good place to buy'," 7:06  PM ET Thu, 14 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Yes to St. Joe," 7:15  PM ET Wed, 13 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Enbridge is a buy," 7:15  PM ET Tue, 12 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: PayPal is a ""value trap"""," 8:10  PM ET Mon, 11 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: American Electric Power is a buy," 7:12  PM ET Fri,  8 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stay away from VinFast," 7:34  PM ET Thu,  7 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Restaurant Brands is a buy," 7:48  PM ET Wed,  6 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stick with Morgan Stanley," 7:42  PM ET Wed,  6 Sept 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Indie Semiconductor is not a buy," 7:29  PM ET Thu, 24 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: AT&T is ""horrendous"""," 6:53  PM ET Wed, 23 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Marathon Oil is a buy," 7:24  PM ET Tue, 22 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Alphabet is a buy," 7:05  PM ET Mon, 21 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Hold DraftKings," 7:22  PM ET Thu, 17 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Raytheon is a buy," 7:05  PM ET Wed, 16 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Don't touch ChargePoint," 7:21  PM ET Tue, 15 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stay away from Plug Power," 7:01  PM ET Mon, 14 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Wingstop is a buy," 7:18  PM ET Thu, 10 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Oracle is a buy," 7:17  PM ET Wed,  9 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Pass on Crocs," 7:12  PM ET Tue,  8 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stay away from JetBlue," 6:57  PM ET Mon,  7 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stanley Black & Decker is a buy," 7:52  PM ET Thu,  3 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Hold Live Nation Entertainment," 7:50  PM ET Wed,  2 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Verizon is 'going nowhere'," 7:58  PM ET Tue,  1 Aug 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Pass on Spirit Airlines," 7:37  PM ET Mon, 31 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Topgolf Callaway Brands is a buy," 7:40  PM ET Thu, 27 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Move on from Rocket Lab," 8:36  PM ET Wed, 26 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Zimmer Biomet is a buy," 7:17  PM ET Tue, 25 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
The US is in a 'Barbie-type' market at the moment: financial services firm," 4:52  AM ET Tue, 25 July 2023",George Ball of Sanders Morris Harris explains his bullish call for the S&P 500.
,,
Cramer's Lightning Round: Walk away from AT&T," 7:42  PM ET Mon, 24 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: KeyCorp is a buy," 7:19  PM ET Thu, 20 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Trip advisor isn't good enough," 8:04  PM ET Wed, 19 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Don't touch AST SpaceMobile," 7:27  PM ET Tue, 18 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: RadNet is ""too expensive"""," 7:11  PM ET Mon, 17 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Datadog is a buy," 8:18  PM ET Thu, 13 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: Duke Energy is ""very solid"""," 7:16  PM ET Wed, 12 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: QuantumScape is a 'hard pass'," 6:55  PM ET Tue, 11 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Investors should buy the market correction in tech, says Sanctuary Wealth's Mary Ann Bartels"," 7:53  AM ET Tue, 11 July 2023","Mary Ann Bartels, Sanctuary Wealth chief investment strategist, joins 'Squawk Box' to discuss the latest market trends, why she believes we're still in a secular bull market, whether the S&P 500 can test the highs of 4,800, and more."
Cramer's Lightning Round: Palantir is a buy," 8:13  PM ET Mon, 10 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Fundstrat's Tom Lee explains why the S&P 500 will gain at least 100 points in the next week," 8:19  AM ET Mon, 10 July 2023","Tom Lee, Fundstrat Global Advisors co-founder, joins 'Squawk Box' to discuss his call for a gain of 100 points or more in the S&P 500 in the next week, latest market trends, and more."
Cramer's Lightning Round: Ferrari is a 'true juggernaut'," 8:51  PM ET Thu,  6 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Zoominfo is a sell," 7:12  PM ET Wed,  5 July 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"We're likely to see 'a positive second half' in the S&P, says CFRA’s Sam Stovall"," 7:36  AM ET Mon,  3 July 2023","Sam Stovall, CFRA Research chief investment strategist, joins 'Squawk Box' to discuss latest market trends, whether the S&P 500 rally can hold in the second half, and more."
,,
"Japan's Prime 150 index will have a different price movement from the Topix, Japan Exchange says"," 4:06  AM ET Mon,  3 July 2023","Japan's newly launched JPX Prime 150 Index is a curated list of the 150 constituent listings on the Tokyo Exchange. Takahiro Miura, Japan Exchange Group's market innovation and research director of index business, talks about the index's main features."
"U.S. not expected to slip into recession until end of 2024, Citi Private Bank says"," 2:49  AM ET Fri, 30 June 2023","Robert Hoffman of Citi Private Bank gives his predictions for Fed rate hikes and says he sees a ""strong rebound"" from small and mid-cap companies in the U.S."
Cramer's Lightning Round: Get rid of ADT," 7:41  PM ET Thu, 22 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: ""Not a fan"" of Snap"," 7:34  PM ET Wed, 21 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: Icahn is ""too dangerous"""," 7:22  PM ET Tue, 20 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: Dominion Energy is ""a little too risky"""," 7:17  PM ET Fri, 16 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Microsoft is a winner," 7:33  PM ET Thu, 15 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Fundstrat's Tom Lee shares why he's bullish on the S&P 500," 9:10  AM ET Thu, 15 June 2023","Thomas Lee of Fundstrat Global Advisors discusses why he has an almost 9% upside on the S&P 500, and says ""it's a green light for stocks to continue to rally"" as he expects inflation to fall significantly."
Cramer's Lightning Round: GE Healthcare is a buy," 7:20  PM ET Wed, 14 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: PayPal is ""too cut-throat"""," 7:22  PM ET Tue, 13 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Teradyne is a buy," 8:31  PM ET Mon, 12 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Sell ImmunoGen and take the gain," 8:25  PM ET Fri,  9 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Stay away from Novocure," 7:35  PM ET Thu,  8 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Rio Tinto is a buy," 8:28  PM ET Wed,  7 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Getty is a buy," 7:50  PM ET Tue,  6 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Hilton is a keeper," 8:28  PM ET Mon,  5 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer's Lightning Round: Gold is great, stick with Franco-Nevada"," 1:10  AM ET Fri,  2 June 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Novavax is a no-go," 8:22  PM ET Wed, 31 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Super Micro Computer is not a buy," 7:42  PM ET Tue, 30 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Vornado is a buy," 8:03  PM ET Thu, 25 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Stay away from Gilead Sciences," 7:45  PM ET Wed, 24 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Get rid of Chimera," 8:00  PM ET Tue, 23 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: FedEx is a buy," 7:46  PM ET Mon, 22 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Keep an eye on Palantir," 7:02  PM ET Fri, 19 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round:," 8:09  PM ET Thu, 18 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"We think most of the Fed hiking cycle is behind us, says Goldman Sachs","12:25  AM ET Thu, 18 May 2023","Ben Snider of the investment bank says it expects the U.S. Federal Reserve will pause hiking interest rates, and adds that it seems S&P companies are starting to pull back on their corporate spending."
,,
Cramer's Lightning Round: Tesla is a buy,"11:47  AM ET Thu, 18 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: I am not a believer in Coinbase," 8:50  PM ET Mon, 15 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Piper Sandler's Craig Johnson explains why he's bullish on the S&P 500, Apple, and Bitcoin"," 7:51  AM ET Mon, 15 May 2023","Craig Johnson, Piper Sandler chief market technician, joins 'Squawk Box' to discuss the latest market trends, and why he is bullish on the S&P 500, Bitcoin and Apple."
Cramer's lightning round: Stay away from Virgin Galactic,"11:23  AM ET Mon, 15 May 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
CNBC Daily Open: Credit Suisse is too big to fail. So UBS agreed to buy it," 1:52  AM ET Mon, 20 March 2023",Swiss regulators engineered a takeover of Credit Suisse by UBS in an attempt to restore confidence in the country's banking sector.
CNBC Daily Open: UBS agrees to buy Credit Suisse," 7:36  PM ET Sun, 19 March 2023",Swiss regulators engineered a takeover of Credit Suisse by UBS in an attempt to restore confidence in the country's banking sector.
Annual reclassification of S&P 500 takes place today," 1:09  PM ET Fri, 17 March 2023",CNBC's Bob Pisani joins 'Halftime Report' to cover changes in the S&P classifications for some stocks in the index.
Fundstrat's Mark Newton says buy weakness on the S&P 500," 4:57  PM ET Tue, 14 Feb 2023","Mark Newton, Fundstrat, joins 'Closing Bell: Overtime' to discuss Fundstrat's call to buy on S&P weakness."
Cramer's lightning round: Triton International is not a buy," 7:05  PM ET Fri, 10 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: EMCOR Group is my kind of stock," 7:30  PM ET Thu,  9 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Vimeo is not a buy," 7:12  PM ET Wed,  8 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramers lightning round: Parker-Hannifin is a buy," 7:25  PM ET Tue,  7 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Steel Dynamics is an excellent company," 7:29  PM ET Mon,  6 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Zoom Video needs a merger," 7:14  PM ET Fri,  3 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: Stick with Netflix," 7:18  PM ET Thu,  2 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I want to own Sherwin-Williams," 7:00  PM ET Wed,  1 Feb 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: CRISPR Therapeutics will work perfectly in this market," 7:32  PM ET Tue, 31 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I think Regions Financial is a terrific buy," 7:20  PM ET Mon, 30 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: L3Harris Technologies is still a buy," 7:14  PM ET Fri, 27 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I say thumbs up to MP Materials," 7:10  PM ET Thu, 26 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's lightning round: I like Nucor over Cleveland-Cliffs," 7:25  PM ET Wed, 25 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Amicus Therapeutics is an ideal spec," 7:33  PM ET Tue, 24 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: Teck Resources is a buy," 7:15  PM ET Mon, 23 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like Juniper Networks," 7:37  PM ET Fri, 20 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like Weyerhaeuser," 4:05  PM ET Fri, 20 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: TransMedics is a total winner," 7:16  PM ET Wed, 18 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I think Boeing is good," 7:18  PM ET Tue, 17 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Costamare is not a buy," 6:59  PM ET Fri, 13 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like Entegris," 6:58  PM ET Thu, 12 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I would hold onto Biomarin Pharmaceutical," 7:28  PM ET Wed, 11 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lighting round: Energy Transfer is a very good stock," 7:43  PM ET Tue, 10 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: I like WESCO very much," 7:40  PM ET Mon,  9 Jan 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
